date,cpi_rate,gdp_value,usd_vnd_rate,xau_usd_rate,market_cap,pe_ratio,fpt_net_revenue,fpt_gross_profit,fpt_operating_profit,fpt_net_profit,fpt_stock_price,fpt_stock_volume
2023-05-23,,,23482.5,1977.8,,,,,,,51.52,657960.0
2023-05-24,,,23510.0,1985.3,,,,,,,51.08,465813.0
2023-05-25,,,23492.5,1964.95,,,,,,,52.27,1343692.0
2023-05-26,,,23485.0,1957.4,,,,,,,52.21,865789.0
2023-05-29,0.024300000000000002,,23484.0,1949.75,,,,,,,52.21,881263.0
2023-05-30,,,23492.0,1963.63,,,,,,,52.77,1662064.0
2023-05-31,,,23497.5,1975.34,,,,,,,52.84,840575.0
2023-06-01,,,23492.5,1983.27,,,,,,,52.46,538944.0
2023-06-02,,,23483.5,1983.52,,,,,,,52.65,738485.0
2023-06-05,,,23508.5,1964.13,,,,,,,53.4,1428499.0
2023-06-06,,,23500.0,1966.85,,,,,,,53.59,516234.0
2023-06-07,,,23492.5,1970.26,,,,,,,53.4,707049.0
2023-06-08,,,23499.0,1970.5,,,,,,,52.52,1246481.0
2023-06-09,,,23495.0,1973.09,,,,,,,53.15,681805.0
2023-06-12,,,23488.5,1967.55,,,,,,,53.34,521246.0
2023-06-13,,,23504.0,1970.74,,,,,,,53.03,468477.0
2023-06-14,,,23514.0,1960.41,,,,,,,52.9,659704.0
2023-06-15,,,23546.5,1960.34,,,,,,,52.84,800193.0
2023-06-16,,,23542.5,1968.0,,,,,,,53.09,2234265.0
2023-06-19,,,23531.5,1958.93,,,,,,,53.21,664779.0
2023-06-20,,,23536.0,1956.87,,,,,,,53.72,946100.0
2023-06-21,,,23531.5,1939.55,,,,,,,53.91,707032.0
2023-06-22,,,23527.5,1935.0,,,,,,,53.72,1021586.0
2023-06-23,,,23527.5,1937.1,,,,,,,53.47,823244.0
2023-06-26,,,23540.0,1933.48,,,,,,,53.91,861394.0
2023-06-27,,,23541.5,1930.85,,,,,,,54.85,1544056.0
2023-06-28,,,23562.5,1917.24,,,,,,,54.66,967842.0
2023-06-29,0.02,,23583.5,1913.15,113800000000000.0,18.6,,,,,54.35,563802.0
2023-06-30,,,23596.5,1922.9,,,12484364264902.0,4633824307037.0,2189766371273.0,1509219531243.0,54.03,734840.0
2023-07-03,,,23710.0,1931.09,,,,,,,54.28,1041108.0
2023-07-04,,,23710.0,1930.84,,,,,,,54.66,1329492.0
2023-07-05,,,23790.0,1935.17,,,,,,,54.67,1791184.0
2023-07-06,,,23772.5,1927.69,,,,,,,54.52,1522489.0
2023-07-07,,,23717.5,1934.92,,,,,,,55.04,899592.0
